PeakCoordinates,log2 Fold Change GR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change GR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
14:78814317-78814789,4.23,1.97E-18,1.49E-17,ENSRNOG00000058202,Ppp2r2c,0,,1:141917693-141918203,4.11,3.38E-10,2.55E-09,ENSRNOG00000013949,Idh2,23989
1:162412469-162413269,4.49,2.31E-18,1.74E-17,ENSRNOG00000012494,Kctd14,5993,,17:76892044-76892545,4.28,3.38E-10,2.55E-09,ENSRNOG00000017882,Camk1d,0
4:67311870-67312214,5.11,2.38E-18,1.78E-17,ENSRNOG00000026748,Dennd2a,10769,,3:2251721-2252186,4.35,3.57E-10,2.67E-09,ENSRNOG00000008190,LOC100911867,0
1:127118263-127118719,5.94,2.69E-18,2.00E-17,ENSRNOG00000012698,Chsy1,46694,,2:211090559-211090950,5.02,3.60E-10,2.67E-09,ENSRNOG00000031814,Sort1,0
1:94606218-94606714,6.31,2.80E-18,2.06E-17,ENSRNOG00000027724,Plekhf1,2663,,13:71606979-71607755,4.92,3.62E-10,2.67E-09,ENSRNOG00000054898,AABR07021433.1,0
17:70655715-70656131,5.04,3.16E-18,2.31E-17,ENSRNOG00000061735,AC141172.1,0,,10:64458231-64458868,4.67,3.68E-10,2.68E-09,ENSRNOG00000008178,Nxn,0
1:240405649-240406323,5.15,3.20E-18,2.33E-17,ENSRNOG00000027770,Trpm3,0,,20:19252484-19253004,4.56,3.66E-10,2.68E-09,ENSRNOG00000055467,RNaseP_nuc,60770
20:29527833-29528669,4.15,3.34E-18,2.41E-17,ENSRNOG00000000576,Anapc16,15960,,11:61293571-61293989,5.64,3.81E-10,2.76E-09,ENSRNOG00000039024,Spice1,0
14:81823736-81824181,6.83,3.36E-18,2.41E-17,ENSRNOG00000015033,Mxd4,0,,1:82573850-82574279,4.51,3.99E-10,2.87E-09,ENSRNOG00000020716,Axl,0
4:168749978-168750585,3.99,3.87E-18,2.76E-17,ENSRNOG00000007830,Apold1,1548,,1:256951541-256951938,4.07,4.15E-10,2.96E-09,ENSRNOG00000014758,Lgi1,3714
20:46453571-46454121,3.77,4.02E-18,2.85E-17,ENSRNOG00000000299,Foxo3,0,,12:24733088-24733644,4.18,4.18E-10,2.96E-09,ENSRNOG00000018910,Abhd11,8092
12:48105910-48106328,5.46,4.06E-18,2.86E-17,ENSRNOG00000000691,Foxn4,0,,7:123192969-123193689,3.48,4.57E-10,3.19E-09,ENSRNOG00000005358,Pmm1,0
1:219078289-219078806,6.82,4.22E-18,2.95E-17,ENSRNOG00000016791,Chka,0,,8:66126123-66126554,3.8,4.55E-10,3.19E-09,ENSRNOG00000053878,AABR07070335.1,59908
3:150210299-150210667,4.96,4.25E-18,2.95E-17,ENSRNOG00000046585,AABR07054370.1,0,,12:51485331-51485802,5.79,4.63E-10,3.21E-09,ENSRNOG00000032590,Ttc28,0
1:221205745-221206166,5.17,4.35E-18,3.00E-17,ENSRNOG00000020881,Frmd8,7142,,9:62313368-62313788,4.19,4.75E-10,3.28E-09,ENSRNOG00000032659,Plcl1,0
15:28314300-28315056,3.46,4.71E-18,3.23E-17,ENSRNOG00000010389,Ndrg2,0,,19:55046177-55046824,4.44,4.80E-10,3.29E-09,ENSRNOG00000043077,Zfpm1,47761
6:128541308-128541766,4.01,6.10E-18,4.15E-17,ENSRNOG00000011044,Clmn,0,,2:227167338-227167787,4.36,5.50E-10,3.75E-09,ENSRNOG00000014660,Usp53,6960
15:58884614-58885122,6.98,6.43E-18,4.35E-17,ENSRNOG00000057847,AABR07018459.1,49523,,6:51171879-51172418,4.03,5.87E-10,3.97E-09,ENSRNOG00000056610,Cog5,0
6:123025698-123026072,5.11,6.49E-18,4.36E-17,ENSRNOG00000060278,Cpg1,8232,,1:162412469-162413269,3.8,6.09E-10,4.10E-09,ENSRNOG00000012494,Kctd14,5993
9:10964308-10964744,4.82,6.95E-18,4.64E-17,ENSRNOG00000047046,Plin4,0,,13:90674336-90674961,3.21,6.36E-10,4.25E-09,ENSRNOG00000007290,Atp1a2,0
7:107882567-107883087,5.39,7.78E-18,5.16E-17,ENSRNOG00000008209,St3gal1,12022,,4:118631272-118631777,4.39,6.62E-10,4.40E-09,ENSRNOG00000018317,Aak1,23951
14:36789023-36790122,4.39,8.44E-18,5.57E-17,ENSRNOG00000002106,Usp46,33664,,9:113395539-113396152,4.56,6.75E-10,4.46E-09,ENSRNOG00000042189,Rab31,0
17:40485668-40486209,4.96,8.74E-18,5.73E-17,ENSRNOG00000059482,AABR07027672.1,313243,,6:10321348-10321827,3.98,6.83E-10,4.48E-09,ENSRNOG00000021318,Epas1,0
20:10942722-10943205,5.69,8.89E-18,5.79E-17,ENSRNOG00000049937,Pdxk,0,,15:106543242-106543772,4.5,8.60E-10,5.61E-09,ENSRNOG00000011203,Farp1,0
8:127638465-127638871,4.29,8.98E-18,5.82E-17,ENSRNOG00000046257,Ctdspl,63663,,4:112734371-112734927,4.18,9.71E-10,6.23E-09,ENSRNOG00000006968,Mrpl19,27102
10:64422160-64422606,4.93,9.30E-18,5.99E-17,ENSRNOG00000008178,Nxn,0,,12:28810982-28811724,2.58,9.66E-10,6.23E-09,ENSRNOG00000024435,Wbscr17,0
10:108740752-108741185,4.71,1.06E-17,6.81E-17,ENSRNOG00000003821,Rptor,9435,,10:39446658-39447401,4.61,9.73E-10,6.23E-09,ENSRNOG00000033663,P4ha2,0
9:98574870-98575283,5.4,1.28E-17,8.14E-17,ENSRNOG00000020254,Per2,0,,10:20451471-20451898,4.03,1.33E-09,8.47E-09,ENSRNOG00000007377,Slit3,0
1:177148952-177149386,4.6,1.40E-17,8.82E-17,ENSRNOG00000016244,Mical2,0,,3:81351299-81351694,4.44,1.41E-09,8.94E-09,ENSRNOG00000007478,Cry2,7190
12:43739825-43740187,4.03,1.46E-17,9.17E-17,ENSRNOG00000058699,AABR07036452.1,80836,,17:5921107-5921571,4.57,1.43E-09,8.98E-09,ENSRNOG00000018839,Ntrk2,12158
17:55617795-55618270,5.3,1.50E-17,9.39E-17,ENSRNOG00000027938,RGD1562037,52061,,X:111851308-111851824,4.32,1.44E-09,9.02E-09,ENSRNOG00000060262,Prps1,31043
6:125001617-125001992,4.52,1.52E-17,9.45E-17,ENSRNOG00000004482,Ccdc88c,0,,8:71740823-71741262,4.13,1.46E-09,9.05E-09,ENSRNOG00000017029,Snx1,4634
5:14829324-14829842,5.86,1.69E-17,1.04E-16,ENSRNOG00000057195,AABR07047008.1,48376,,1:94606218-94606714,5.31,1.49E-09,9.22E-09,ENSRNOG00000027724,Plekhf1,2663
3:162630561-162631001,4.23,1.88E-17,1.15E-16,ENSRNOG00000051007,AABR07054586.1,22758,,10:16942387-16943031,5.7,1.66E-09,1.02E-08,ENSRNOG00000053789,AC111369.1,5629
1:225990498-225991054,4.75,2.04E-17,1.24E-16,ENSRNOG00000032929,Incenp,37983,,5:139328326-139328728,3.53,1.70E-09,1.04E-08,ENSRNOG00000032183,Scmh1,56701
1:128676649-128677083,5.12,2.27E-17,1.38E-16,ENSRNOG00000013877,Ttc23,0,,1:221205745-221206166,4.29,2.10E-09,1.27E-08,ENSRNOG00000020881,Frmd8,7142
12:30775788-30776243,6.65,2.35E-17,1.42E-16,ENSRNOG00000000931,Sfswap,0,,6:25388379-25388748,4.05,2.15E-09,1.29E-08,ENSRNOG00000026037,Plb1,8789
5:72885665-72886317,4.35,2.40E-17,1.44E-16,ENSRNOG00000057406,AABR07048321.1,6021,,17:55617795-55618270,4.81,2.15E-09,1.29E-08,ENSRNOG00000027938,RGD1562037,52061
9:113395539-113396152,5.28,2.79E-17,1.67E-16,ENSRNOG00000042189,Rab31,0,,20:10942722-10943205,4.71,2.19E-09,1.31E-08,ENSRNOG00000049937,Pdxk,0
19:830537-830957,4.95,3.08E-17,1.83E-16,ENSRNOG00000010691,Cmtm3,0,,4:146436135-146436602,4.18,2.22E-09,1.32E-08,ENSRNOG00000007420,Hrh1,18730
11:65855769-65856176,5.61,3.19E-17,1.88E-16,ENSRNOG00000002746,Fstl1,10352,,3:147605327-147605707,3.82,2.51E-09,1.48E-08,ENSRNOG00000031167,Srxn1,3388
7:104963746-104964189,4.62,3.61E-17,2.12E-16,ENSRNOG00000053215,AABR07058210.1,137818,,8:53067671-53068330,3.91,2.66E-09,1.56E-08,ENSRNOG00000029980,Zbtb16,0
10:16778260-16778775,4.23,3.78E-17,2.21E-16,ENSRNOG00000003269,Atp6v0e1,0,,3:125320346-125320697,4.71,2.69E-09,1.57E-08,ENSRNOG00000021268,1110034G24Rik,0
7:123070244-123070931,4.29,3.83E-17,2.22E-16,ENSRNOG00000050500,Tob2,8606,,10:96310468-96310935,3.77,2.76E-09,1.60E-08,ENSRNOG00000003491,Prkca,0
11:87063959-87064622,3.82,3.95E-17,2.28E-16,ENSRNOG00000000281,Prodh,0,,15:108120018-108120708,4.6,2.82E-09,1.63E-08,ENSRNOG00000011969,Dock9,0
6:25388379-25388748,4.43,4.39E-17,2.52E-16,ENSRNOG00000026037,Plb1,8789,,9:66715709-66716163,4.12,2.85E-09,1.64E-08,ENSRNOG00000022066,Fam117b,806
5:138093290-138094276,5.56,4.80E-17,2.74E-16,ENSRNOG00000007284,Slc2a1,60397,,7:104963746-104964189,3.84,3.06E-09,1.74E-08,ENSRNOG00000053215,AABR07058210.1,137818
4:118631272-118631777,4.85,4.87E-17,2.77E-16,ENSRNOG00000018317,Aak1,23951,,8:51214448-51214961,5.63,3.04E-09,1.74E-08,ENSRNOG00000053779,U6,136542
6:76187752-76188426,6.53,5.25E-17,2.97E-16,ENSRNOG00000007114,Psma6,0,,16:61740437-61740898,3.28,3.24E-09,1.82E-08,ENSRNOG00000012329,Saraf,0
2:211090559-211090950,5.71,5.40E-17,3.03E-16,ENSRNOG00000031814,Sort1,0,,17:76804266-76804722,4.63,3.24E-09,1.82E-08,ENSRNOG00000017882,Camk1d,0
18:56200732-56201155,4.36,5.51E-17,3.08E-16,ENSRNOG00000018712,Camk2a,0,,5:14829324-14829842,4.9,3.26E-09,1.82E-08,ENSRNOG00000057195,AABR07047008.1,48376
5:105518195-105518593,3.74,5.72E-17,3.17E-16,ENSRNOG00000008169,Slc24a2,0,,4:124675573-124676033,4.03,3.54E-09,1.97E-08,ENSRNOG00000023257,Adamts9,0
8:68000579-68001083,4.59,5.74E-17,3.17E-16,ENSRNOG00000057119,U6,23734,,11:81286505-81286920,4.34,3.62E-09,2.01E-08,ENSRNOG00000056908,AABR07034610.1,25219
18:55877677-55878148,5.03,6.00E-17,3.30E-16,ENSRNOG00000019181,Synpo,0,,1:128676649-128677083,4.63,3.75E-09,2.06E-08,ENSRNOG00000013877,Ttc23,0
7:125261014-125261682,5.35,6.42E-17,3.52E-16,ENSRNOG00000055305,Parvb,0,,1:240687943-240688297,5.43,3.78E-09,2.06E-08,ENSRNOG00000027770,Trpm3,0
5:167730552-167731000,4.86,6.75E-17,3.68E-16,ENSRNOG00000018229,Slc45a1,34205,,2:124545280-124545890,4.22,3.78E-09,2.06E-08,ENSRNOG00000056100,SNORA17,46190
4:31779916-31780436,5.29,6.98E-17,3.78E-16,ENSRNOG00000009957,Slc25a13,49531,,7:121230714-121231078,5.44,3.85E-09,2.09E-08,ENSRNOG00000017197,Pdgfb,0
10:75966751-75967235,3.92,7.78E-17,4.20E-16,ENSRNOG00000025338,Msi2,0,,9:43945258-43945817,5.2,3.87E-09,2.09E-08,ENSRNOG00000017660,Inpp4a,0
13:36149953-36150318,5.49,8.01E-17,4.27E-16,ENSRNOG00000046889,Dbi,0,,6:76175823-76176493,3.74,3.95E-09,2.12E-08,ENSRNOG00000007114,Psma6,0
5:152032758-152033447,4.43,7.97E-17,4.27E-16,ENSRNOG00000056863,AABR07050116.1,37178,,12:38960292-38960844,4.01,4.17E-09,2.23E-08,ENSRNOG00000045574,Morn3,4219
15:89926109-89926477,4.99,8.18E-17,4.32E-16,ENSRNOG00000049068,AABR07019120.1,69307,,2:227250640-227251104,5.04,4.73E-09,2.52E-08,ENSRNOG00000014867,Synpo2,4798
20:10904040-10904462,6.5,8.17E-17,4.32E-16,ENSRNOG00000049970,RGD1566085,0,,1:240831252-240832068,3.1,5.11E-09,2.70E-08,ENSRNOG00000046395,RGD1561453,53886
14:48676525-48676989,4.44,8.44E-17,4.44E-16,ENSRNOG00000051263,Rn60_14_0488.1,0,,7:60294477-60294834,4.25,5.17E-09,2.72E-08,ENSRNOG00000005689,Yeats4,0
15:58973315-58973830,4.82,8.72E-17,4.56E-16,ENSRNOG00000057847,AABR07018459.1,138224,,1:140901855-140902303,3.13,5.24E-09,2.74E-08,ENSRNOG00000017510,Mfge8,40962
19:53500984-53501404,5.54,8.91E-17,4.61E-16,ENSRNOG00000042274,Fbxo31,0,,10:108740752-108741185,3.92,5.34E-09,2.78E-08,ENSRNOG00000003821,Rptor,9435
14:76572384-76572843,4.42,8.85E-17,4.61E-16,ENSRNOG00000051169,Clnk,84468,,18:56200732-56201155,3.6,5.73E-09,2.96E-08,ENSRNOG00000018712,Camk2a,0
2:33059959-33060493,5.01,9.02E-17,4.65E-16,ENSRNOG00000027002,Mast4,34689,,20:8020191-8020560,4.2,5.77E-09,2.96E-08,ENSRNOG00000022523,Fkbp5,1172
7:123192969-123193689,4.08,9.08E-17,4.66E-16,ENSRNOG00000005358,Pmm1,0,,18:39820634-39821008,4.03,5.76E-09,2.96E-08,ENSRNOG00000061296,SNORA17,24442
8:66126123-66126554,4.21,9.93E-17,5.07E-16,ENSRNOG00000053878,AABR07070335.1,59908,,1:164508294-164508864,4.4,6.34E-09,3.24E-08,ENSRNOG00000030404,Arrb1,0
13:68464909-68465214,4.31,1.00E-16,5.11E-16,ENSRNOG00000052133,U4,23795,,9:94778619-94779150,3.87,6.43E-09,3.26E-08,ENSRNOG00000017020,Inpp5d,0
1:94551808-94552249,4.14,1.08E-16,5.44E-16,ENSRNOG00000056351,U7,9653,,20:10904040-10904462,5.18,6.43E-09,3.26E-08,ENSRNOG00000049970,RGD1566085,0
19:24827317-24827638,5.86,1.41E-16,7.11E-16,ENSRNOG00000004131,Pkn1,0,,1:240405649-240406323,4.45,6.64E-09,3.34E-08,ENSRNOG00000027770,Trpm3,0
1:142469847-142470409,6.5,1.44E-16,7.17E-16,ENSRNOG00000011975,Crtc3,0,,8:62851944-62852379,4.35,6.93E-09,3.48E-08,ENSRNOG00000008219,Ccdc33,0
10:86268046-86268461,3.32,1.44E-16,7.17E-16,ENSRNOG00000028417,AC142182.1,12431,,6:110949663-110950145,3.55,7.30E-09,3.65E-08,ENSRNOG00000011111,Cipc,17916
6:131994744-131995102,6.49,1.47E-16,7.26E-16,ENSRNOG00000006587,LOC100910833,28843,,9:10964308-10964744,3.99,7.49E-09,3.72E-08,ENSRNOG00000047046,Plin4,0
4:140126450-140126866,5.2,1.47E-16,7.26E-16,ENSRNOG00000006813,Sumf1,12137,,2:210656895-210657280,4.83,7.68E-09,3.80E-08,ENSRNOG00000048209,Eps8l3,11123
3:81351299-81351694,4.76,1.51E-16,7.42E-16,ENSRNOG00000007478,Cry2,7190,,3:176643988-176644528,4.28,7.86E-09,3.87E-08,ENSRNOG00000011624,Kcnq2,0
2:29737905-29738420,4.93,1.56E-16,7.65E-16,ENSRNOG00000017428,Map1b,0,,6:60150526-60151025,5.62,8.64E-09,4.23E-08,ENSRNOG00000050997,Ifrd1,0
12:50127322-50127764,3.77,1.60E-16,7.79E-16,ENSRNOG00000025612,Sez6l,0,,5:156645787-156646145,4.1,8.92E-09,4.35E-08,ENSRNOG00000014970,Kif17,0
10:16859496-16859925,6.55,1.65E-16,8.02E-16,ENSRNOG00000003508,Ergic1,0,,3:6136666-6137118,3.77,8.99E-09,4.36E-08,ENSRNOG00000055021,U6atac,52632
12:17865130-17865524,5.23,1.75E-16,8.46E-16,ENSRNOG00000032693,LOC498155,0,,15:58846929-58847343,5.01,9.40E-09,4.54E-08,ENSRNOG00000057847,AABR07018459.1,11838
17:90476053-90476457,3.88,1.92E-16,9.20E-16,ENSRNOG00000058094,Lyst,0,,19:11309618-11310241,3.48,9.53E-09,4.58E-08,ENSRNOG00000043098,Mt2A,879
5:139328326-139328728,3.56,1.93E-16,9.24E-16,ENSRNOG00000032183,Scmh1,56701,,1:261905441-261905816,5.11,9.97E-09,4.77E-08,ENSRNOG00000055885,AC096317.1,16729
13:95521240-95521755,3,1.98E-16,9.44E-16,ENSRNOG00000004423,Zfp238,67913,,18:55877677-55878148,4.24,1.01E-08,4.81E-08,ENSRNOG00000019181,Synpo,0
6:132221990-132222426,4.21,2.06E-16,9.75E-16,ENSRNOG00000028390,Hhipl1,0,,5:138093290-138094276,4.05,1.02E-08,4.83E-08,ENSRNOG00000007284,Slc2a1,60397
3:162862059-162862547,5.2,2.22E-16,1.05E-15,ENSRNOG00000006052,Sulf2,0,,6:128541308-128541766,3.54,1.03E-08,4.88E-08,ENSRNOG00000011044,Clmn,0
19:11290539-11291016,5.23,2.27E-16,1.07E-15,ENSRNOG00000025764,Mt1,11109,,5:165027690-165028101,5.29,1.07E-08,5.03E-08,ENSRNOG00000026447,Ptchd2,24770
19:55046177-55046824,5.12,2.30E-16,1.08E-15,ENSRNOG00000043077,Zfpm1,47761,,9:44860037-44860538,5.08,1.09E-08,5.06E-08,ENSRNOG00000018830,Aff3,0
15:106543242-106543772,5.18,2.51E-16,1.17E-15,ENSRNOG00000011203,Farp1,0,,2:197794365-197795052,3.84,1.08E-08,5.06E-08,ENSRNOG00000049385,Adamtsl4,8532
5:166999126-166999550,6.37,2.61E-16,1.21E-15,ENSRNOG00000017523,H6pd,0,,8:117826151-117826656,3.93,1.10E-08,5.09E-08,ENSRNOG00000020688,Ccdc51,0
19:57346542-57346929,5.5,2.61E-16,1.21E-15,ENSRNOG00000018480,Capn9,0,,6:132221990-132222426,3.56,1.12E-08,5.17E-08,ENSRNOG00000028390,Hhipl1,0
15:87883034-87883490,4.17,2.63E-16,1.21E-15,ENSRNOG00000024125,Slain1,3293,,3:173846189-173846631,4.32,1.12E-08,5.17E-08,ENSRNOG00000057996,Phactr3,0
17:76804266-76804722,5.31,2.73E-16,1.25E-15,ENSRNOG00000017882,Camk1d,0,,3:148302597-148303698,2.45,1.14E-08,5.21E-08,ENSRNOG00000007946,Bcl2l1,0
2:188683352-188683736,4.7,2.93E-16,1.33E-15,ENSRNOG00000020621,Dcst1,0,,5:152032758-152033447,3.72,1.18E-08,5.39E-08,ENSRNOG00000056863,AABR07050116.1,37178
8:51214448-51214961,6.53,2.95E-16,1.34E-15,ENSRNOG00000053779,U6,136542,,10:89352536-89352843,5.29,1.20E-08,5.46E-08,ENSRNOG00000020674,Rpl27,0
1:24564741-24565153,5.64,3.26E-16,1.47E-15,ENSRNOG00000059251,1700020N01Rik,6087,,16:47967883-47968243,5.22,1.21E-08,5.46E-08,ENSRNOG00000056004,SNORA70,13245
7:23634933-23635379,5.06,3.63E-16,1.63E-15,ENSRNOG00000026866,Syn3,0,,5:161806322-161806810,4.49,1.29E-08,5.81E-08,ENSRNOG00000033522,Prdm2,0
1:170571299-170571772,5.58,3.95E-16,1.77E-15,ENSRNOG00000018766,Rrp8,2577,,12:37167243-37167856,3.6,1.34E-08,5.99E-08,ENSRNOG00000021705,Zfp664,16907
2:187572862-187573212,4.21,4.35E-16,1.94E-15,ENSRNOG00000046519,AABR07072748.1,9155,,6:104491854-104492319,5.32,1.35E-08,6.03E-08,ENSRNOG00000045941,Susd6,0
12:36921495-36922026,4.12,4.76E-16,2.11E-15,ENSRNOG00000001004,Ncor2,0,,16:49266452-49266837,4.43,1.46E-08,6.51E-08,ENSRNOG00000010830,Slc25a4,66
2:210656895-210657280,5.71,4.86E-16,2.15E-15,ENSRNOG00000048209,Eps8l3,11123,,13:68464909-68465214,3.8,1.51E-08,6.68E-08,ENSRNOG00000052133,U4,23795
1:87001012-87001400,4.54,5.02E-16,2.21E-15,ENSRNOG00000020235,Hnrnpl,0,,13:97152392-97152785,3.37,1.57E-08,6.93E-08,ENSRNOG00000028624,Kif26b,0
5:62587969-62588528,4.06,5.33E-16,2.34E-15,ENSRNOG00000008431,Gabbr2,0,,11:33093347-33093686,4.18,1.63E-08,7.14E-08,ENSRNOG00000054634,AABR07033645.1,0
6:41361545-41361906,4.68,5.35E-16,2.34E-15,ENSRNOG00000058570,AABR07063674.1,85539,,3:9582366-9582780,5.1,1.63E-08,7.14E-08,ENSRNOG00000056579,AC142138.1,41317
15:13512107-13512495,3.9,5.54E-16,2.41E-15,ENSRNOG00000009419,Ptprg,283501,,6:76187752-76188426,5.48,1.72E-08,7.48E-08,ENSRNOG00000007114,Psma6,0
1:84306575-84307046,5.92,5.56E-16,2.41E-15,ENSRNOG00000018369,Prx,0,,11:65855769-65856176,4.63,1.81E-08,7.82E-08,ENSRNOG00000002746,Fstl1,10352
6:59868476-59868885,4.78,5.74E-16,2.48E-15,ENSRNOG00000004282,Arl4a,79692,,17:58444903-58445279,4.25,1.81E-08,7.82E-08,ENSRNOG00000030775,Adarb2,143644
9:17114473-17114923,6.38,6.08E-16,2.61E-15,ENSRNOG00000039856,Lrrc73,297,,5:58397995-58398404,3.35,1.85E-08,7.98E-08,ENSRNOG00000000130,Dnajb5,0
15:61535279-61535699,5.19,6.24E-16,2.67E-15,ENSRNOG00000042960,Rgcc,16162,,17:70358480-70358857,5.1,1.89E-08,8.08E-08,ENSRNOG00000028168,Ankrd16,27850
10:110468017-110468363,4.07,6.49E-16,2.77E-15,ENSRNOG00000036663,Foxk2,927,,12:13853292-13853827,5.08,1.92E-08,8.15E-08,ENSRNOG00000024482,Tnrc18,0
3:9485706-9486124,4.31,7.02E-16,2.98E-15,ENSRNOG00000059375,AC142138.2,12878,,X:111865147-111865495,3.96,1.91E-08,8.15E-08,ENSRNOG00000056135,Tsc22d3,18800
9:31994134-31994492,4.49,8.06E-16,3.41E-15,ENSRNOG00000012045,Adgrb3,0,,12:10363201-10363656,3.78,1.95E-08,8.27E-08,ENSRNOG00000048898,Wasf3,27703
2:62772682-62773123,4.22,8.46E-16,3.57E-15,ENSRNOG00000061724,U1,81498,,8:53071408-53071984,4.41,1.99E-08,8.41E-08,ENSRNOG00000029980,Zbtb16,0
1:177287121-177287526,4.37,9.58E-16,4.02E-15,ENSRNOG00000015713,Parva,0,,10:37330839-37331256,4.16,2.06E-08,8.64E-08,ENSRNOG00000004956,Jade2,19215
7:117846116-117846727,3.06,9.87E-16,4.13E-15,ENSRNOG00000016566,Arhgap39,0,,X:111855881-111856313,5.11,2.11E-08,8.82E-08,ENSRNOG00000056135,Tsc22d3,27982
9:43945258-43945817,5.78,1.04E-15,4.33E-15,ENSRNOG00000017660,Inpp4a,0,,16:3625660-3626223,3.72,2.22E-08,9.25E-08,ENSRNOG00000015148,Erc2,0
3:165160199-165160628,3.08,1.08E-15,4.46E-15,ENSRNOG00000012175,Nfatc2,84610,,1:24564741-24565153,4.47,2.23E-08,9.25E-08,ENSRNOG00000059251,1700020N01Rik,6087
3:125320346-125320697,5.47,1.11E-15,4.58E-15,ENSRNOG00000021268,1110034G24Rik,0,,10:33048834-33049406,3.49,2.26E-08,9.34E-08,ENSRNOG00000054952,U1,75703
6:97390716-97391221,2.59,1.12E-15,4.59E-15,ENSRNOG00000057286,AABR07064835.1,0,,1:142469847-142470409,5.14,2.35E-08,9.69E-08,ENSRNOG00000011975,Crtc3,0
10:37330839-37331256,5.01,1.13E-15,4.63E-15,ENSRNOG00000004956,Jade2,19215,,2:113967082-113967420,4.36,2.67E-08,1.09E-07,ENSRNOG00000056392,AABR07009824.1,10274
20:7613238-7613717,4.25,1.17E-15,4.75E-15,ENSRNOG00000000498,Anks1a,0,,15:42862800-42863394,3.54,2.99E-08,1.22E-07,ENSRNOG00000027839,Ptk2b,0
15:45590679-45591163,3.22,1.17E-15,4.75E-15,ENSRNOG00000009440,Gucy1b2,40395,,5:150199126-150199674,3.45,3.13E-08,1.28E-07,ENSRNOG00000010037,Epb4.1,32050
5:169656904-169657710,6.25,1.18E-15,4.75E-15,ENSRNOG00000011550,Kcnab2,0,,3:174053427-174053760,3.94,3.15E-08,1.28E-07,ENSRNOG00000061570,AABR07072963.1,6472
8:39998283-39998657,6.38,1.17E-15,4.75E-15,ENSRNOG00000033217,Esam,0,,10:91709521-91709897,5.14,3.22E-08,1.30E-07,ENSRNOG00000028436,Rprml,598
4:5779865-5780258,5.37,1.19E-15,4.77E-15,ENSRNOG00000061925,AABR07059159.1,6565,,14:48676525-48676989,3.87,3.25E-08,1.31E-07,ENSRNOG00000051263,Rn60_14_0488.1,0
11:35167488-35167826,3.21,1.21E-15,4.84E-15,ENSRNOG00000054899,7SK,9110,,5:148380294-148380796,3.65,3.32E-08,1.33E-07,ENSRNOG00000013179,Tinagl1,1910
3:124084784-124085312,4.42,1.27E-15,5.07E-15,ENSRNOG00000021255,Smox,0,,6:14701355-14701785,3.75,3.42E-08,1.37E-07,ENSRNOG00000056572,AABR07062915.1,95159
10:102984610-102985080,5.07,1.33E-15,5.29E-15,ENSRNOG00000053967,AC118434.2,120360,,7:120332349-120332659,4.94,3.47E-08,1.38E-07,ENSRNOG00000055700,AC096473.3,0
10:25910099-25910648,4.31,1.56E-15,6.19E-15,ENSRNOG00000003256,Ccng1,0,,4:5779865-5780258,4.42,3.50E-08,1.39E-07,ENSRNOG00000061925,AABR07059159.1,6565
12:16455313-16455923,4.75,1.59E-15,6.29E-15,ENSRNOG00000001265,Mad1l1,0,,2:141792880-141793543,4.05,3.64E-08,1.44E-07,ENSRNOG00000058636,AABR07010589.1,70295
11:61293571-61293989,6.25,1.60E-15,6.29E-15,ENSRNOG00000039024,Spice1,0,,11:66749038-66749490,3.53,3.72E-08,1.47E-07,ENSRNOG00000038881,Hcls1,0
X:11834382-11834762,4.62,1.61E-15,6.29E-15,ENSRNOG00000060358,SNORA62,31357,,9:15506857-15507363,3.07,3.86E-08,1.51E-07,ENSRNOG00000015249,RGD1562299,5700
17:58444903-58445279,4.97,1.71E-15,6.68E-15,ENSRNOG00000030775,Adarb2,143644,,8:55179492-55179863,5.02,3.94E-08,1.54E-07,ENSRNOG00000010524,Cryab,0
6:60150526-60151025,6.26,1.73E-15,6.71E-15,ENSRNOG00000050997,Ifrd1,0,,15:42941182-42941680,3.14,4.04E-08,1.56E-07,ENSRNOG00000027839,Ptk2b,0
13:67105936-67106283,2.8,1.77E-15,6.85E-15,ENSRNOG00000002657,Pla2g4a,0,,19:53500984-53501404,4.41,4.03E-08,1.56E-07,ENSRNOG00000042274,Fbxo31,0
10:11115991-11116396,4.52,2.02E-15,7.79E-15,ENSRNOG00000004146,Coro7,0,,3:165428521-165429084,4.23,4.01E-08,1.56E-07,ENSRNOG00000049484,Atp9a,0
13:35554597-35554946,4.73,2.03E-15,7.83E-15,ENSRNOG00000047257,Tmem185b,18,,10:107316998-107317433,3.39,4.21E-08,1.62E-07,ENSRNOG00000028255,Usp36,0
10:85359021-85359435,6.34,2.13E-15,8.17E-15,ENSRNOG00000022771,Arhgap23,25446,,3:12973355-12973713,5.07,4.25E-08,1.63E-07,ENSRNOG00000017172,Mvb12b,28862
12:16934481-16934938,6.22,2.17E-15,8.24E-15,ENSRNOG00000001277,Mafk,0,,2:32758274-32759131,3.62,4.39E-08,1.67E-07,ENSRNOG00000010266,Cd180,61191
19:47509120-47509461,4.08,2.16E-15,8.24E-15,ENSRNOG00000012428,Maf,685343,,6:114358979-114359336,4.43,4.38E-08,1.67E-07,ENSRNOG00000035293,5S_rRNA,26006
