PeakCoordinates,log2 Fold Change MR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change MR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
4:144770379-144770784,1.95,0.0000101,4.260E-05,ENSRNOG00000006509,Srgap3,0,,14:83721080-83721464,2.99,0.0000191,8.09E-05,ENSRNOG00000025121,Pla2g3,3469
4:139245306-139245792,1.79,0.0000101,4.260E-05,ENSRNOG00000059651,7SK,79565,,3:81885565-81885983,2.93,0.0000193,8.12E-05,ENSRNOG00000008674,Prdm11,0
11:61293607-61294284,2.02,0.0000102,4.280E-05,ENSRNOG00000039024,Spice1,0,,10:5925039-5925566,1.85,0.0000194,8.17E-05,ENSRNOG00000033942,Grin2a,4732
15:86508343-86509036,2.12,0.0000102,4.300E-05,ENSRNOG00000060775,Lmo7,50605,,1:49124743-49125275,1.82,0.0000198,8.31E-05,ENSRNOG00000055141,AABR07001518.1,7093
7:129844463-129845087,3.01,0.0000103,4.320E-05,ENSRNOG00000053803,AABR07058656.1,0,,1:240902175-240903719,1.84,0.0000201,8.38E-05,ENSRNOG00000014215,Klf9,4764
20:7613254-7613640,3.57,0.0000104,4.330E-05,ENSRNOG00000000498,Anks1a,0,,8:119556774-119557258,2.23,0.00002,8.38E-05,ENSRNOG00000021091,Trank1,9251
6:28452374-28452749,2.91,0.0000107,4.440E-05,ENSRNOG00000012950,Efr3b,0,,6:112175072-112175460,3.16,0.0000201,8.38E-05,ENSRNOG00000045756,Nrxn3,28219
9:49795762-49796087,3.02,0.0000109,4.510E-05,ENSRNOG00000016444,AABR07067506.1,0,,3:136403062-136403564,2.79,0.0000203,8.42E-05,ENSRNOG00000054982,7SK,314
10:96310380-96310870,2.63,0.0000111,4.570E-05,ENSRNOG00000003491,Prkca,0,,14:19983380-19983871,1.7,0.0000205,8.51E-05,ENSRNOG00000027463,Adamts3,0
5:58791586-58791927,2.4,0.0000111,4.570E-05,ENSRNOG00000021704,LOC684238,0,,1:57382635-57383034,2.31,0.0000206,8.51E-05,ENSRNOG00000058790,Fam120b,0
1:260950345-260950694,2.19,0.0000111,4.570E-05,ENSRNOG00000026065,Slit1,0,,20:12850295-12850784,1.97,0.0000207,8.54E-05,ENSRNOG00000054549,Lss,0
14:105083965-105084416,2.69,0.000011,4.570E-05,ENSRNOG00000056722,AABR07016578.2,0,,20:44716699-44717135,3.17,0.0000211,8.70E-05,ENSRNOG00000000595,Traf3ip2,0
20:46453636-46454084,2.65,0.0000112,4.600E-05,ENSRNOG00000000299,Foxo3,0,,6:30125411-30125838,3.05,0.0000217,8.90E-05,ENSRNOG00000046741,Itsn2,0
7:23550533-23550937,2.51,0.0000113,4.640E-05,ENSRNOG00000026866,Syn3,0,,10:10064654-10065152,2.59,0.0000223,9.14E-05,ENSRNOG00000041962,5S_rRNA,355078
4:147150218-147150621,2.57,0.0000116,4.730E-05,ENSRNOG00000008157,Syn2,0,,7:129844463-129845087,2.72,0.0000225,9.16E-05,ENSRNOG00000053803,AABR07058656.1,0
20:4442446-4442797,2.48,0.0000116,4.750E-05,ENSRNOG00000000443,C4a,0,,11:47537613-47538162,2.58,0.0000224,9.16E-05,ENSRNOG00000056680,U6,218056
2:9601308-9601672,3.05,0.0000118,4.800E-05,ENSRNOG00000016252,Mblac2,0,,19:44015588-44016141,1.69,0.000023,9.38E-05,ENSRNOG00000019326,Cfdp1,0
16:49266429-49266879,2.92,0.000012,4.880E-05,ENSRNOG00000010830,Slc25a4,24,,15:28314385-28315116,2.6,0.0000239,9.69E-05,ENSRNOG00000010389,Ndrg2,0
17:6973630-6974133,2.39,0.0000122,4.930E-05,ENSRNOG00000019533,Klhl3,0,,11:79117913-79118553,1.36,0.0000244,9.87E-05,ENSRNOG00000051670,AABR07034573.1,15269
1:114282987-114283497,2.12,0.0000124,5.020E-05,ENSRNOG00000011945,Cyfip1,0,,14:48730985-48731339,2.86,0.0000244,9.87E-05,ENSRNOG00000056826,Arap2,0
20:34746368-34746709,2.41,0.0000126,5.080E-05,ENSRNOG00000000414,Cep85l,61951,,11:63374692-63375218,1.95,0.0000246,9.92E-05,ENSRNOG00000038987,LOC498084,149707
13:67105911-67106295,1.91,0.0000128,5.140E-05,ENSRNOG00000002657,Pla2g4a,0,,10:59580902-59581258,2.54,0.0000255,1.02E-04,ENSRNOG00000046639,Itgae,0
7:11677720-11678083,2.65,0.0000128,5.140E-05,ENSRNOG00000019682,Timm13,0,,1:116104953-116105470,2.49,0.0000254,1.02E-04,ENSRNOG00000056228,Atp10a,0
10:68902137-68902424,2.83,0.0000134,5.370E-05,ENSRNOG00000006625,Phb-ps1,23001,,1:221205343-221206100,1.29,0.0000257,1.03E-04,ENSRNOG00000020881,Frmd8,7208
18:76830489-76831089,3.02,0.0000135,5.390E-05,ENSRNOG00000053640,Kcng2,0,,6:76187902-76188419,2.97,0.0000271,1.08E-04,ENSRNOG00000007114,Psma6,0
3:136403062-136403564,2.83,0.0000135,5.390E-05,ENSRNOG00000054982,7SK,314,,8:22714248-22714692,2.33,0.0000272,1.08E-04,ENSRNOG00000009271,Smarca4,0
4:179408531-179408841,2.08,0.0000136,5.410E-05,ENSRNOG00000029308,Lrmp,0,,1:256951511-256952069,2.27,0.0000274,1.08E-04,ENSRNOG00000014758,Lgi1,3583
5:8621123-8621474,2.98,0.0000142,5.640E-05,ENSRNOG00000051477,AABR07046830.1,5646,,2:42630310-42630772,1.76,0.0000271,1.08E-04,ENSRNOG00000026928,AABR07008097.1,96037
14:48730985-48731339,2.97,0.0000142,5.640E-05,ENSRNOG00000056826,Arap2,0,,6:124488201-124488548,3.26,0.0000272,1.08E-04,ENSRNOG00000027300,Ttc7b,58501
1:145716089-145716459,2.6,0.000015,5.940E-05,ENSRNOG00000025088,Tmc3,0,,3:162630609-162630966,2.82,0.000027,1.08E-04,ENSRNOG00000051007,AABR07054586.1,22806
2:80243389-80243744,3.19,0.0000158,6.220E-05,ENSRNOG00000010960,Ankh,0,,14:65696004-65696377,2.9,0.0000275,1.08E-04,ENSRNOG00000053299,SCARNA6,36561
9:38068691-38069048,3.38,0.0000158,6.220E-05,ENSRNOG00000012207,Dst,0,,10:108655297-108655823,1.9,0.0000292,1.14E-04,ENSRNOG00000003699,Endov,8621
X:10215649-10216065,2.86,0.0000159,6.250E-05,ENSRNOG00000009646,Nyx,0,,6:40988929-40989434,2.68,0.0000292,1.14E-04,ENSRNOG00000004110,Trib2,27296
19:44015588-44016141,1.85,0.000016,6.250E-05,ENSRNOG00000019326,Cfdp1,0,,13:95521213-95521824,1.53,0.0000293,1.14E-04,ENSRNOG00000004423,Zfp238,67844
18:55877713-55878064,2.86,0.0000161,6.290E-05,ENSRNOG00000019181,Synpo,0,,5:115562888-115563753,1.89,0.0000289,1.14E-04,ENSRNOG00000052472,U7,54112
20:48702754-48703315,1.56,0.0000161,6.290E-05,ENSRNOG00000024221,Mettl24,0,,11:35167462-35167807,1.78,0.0000292,1.14E-04,ENSRNOG00000054899,7SK,9084
10:45846439-45846763,2.5,0.0000164,6.360E-05,ENSRNOG00000003129,Zfp496,0,,17:4516430-4517147,1.88,0.0000301,1.17E-04,ENSRNOG00000060172,AABR07026912.2,50473
14:37284217-37284573,2.89,0.0000169,6.530E-05,ENSRNOG00000002152,Dcun1d4,0,,2:140121523-140121952,3.07,0.0000305,1.18E-04,ENSRNOG00000046865,AABR07010554.1,85746
19:21367981-21368327,2.01,0.0000169,6.530E-05,ENSRNOG00000052466,AABR07043106.1,0,,15:60403077-60403463,1.8,0.0000305,1.18E-04,ENSRNOG00000049547,Tnfsf11,79064
9:44262115-44262907,1.47,0.0000171,6.620E-05,ENSRNOG00000018366,RGD1310819,24999,,8:53067636-53068309,1.59,0.0000308,1.19E-04,ENSRNOG00000029980,Zbtb16,0
11:35234508-35234945,2.95,0.0000177,6.780E-05,ENSRNOG00000054899,7SK,76130,,3:174053387-174053809,3.25,0.0000312,1.20E-04,ENSRNOG00000061570,AABR07072963.1,6432
6:51171877-51172286,2.35,0.0000176,6.780E-05,ENSRNOG00000056610,Cog5,0,,11:30857240-30857725,1.83,0.0000316,1.21E-04,ENSRNOG00000021555,Mis18a,22162
1:64320125-64320552,2.13,0.0000176,6.780E-05,ENSRNOG00000057852,Cacng6,0,,15:69427030-69427472,1.64,0.0000314,1.21E-04,ENSRNOG00000060682,U6,148656
1:240902175-240903719,1.98,0.0000186,7.130E-05,ENSRNOG00000014215,Klf9,4764,,10:85094352-85094808,2.05,0.0000318,1.22E-04,ENSRNOG00000009275,Kpnb1,0
2:21450718-21451058,2.36,0.0000192,7.330E-05,ENSRNOG00000055450,Ckmt2,13526,,1:153786546-153787167,2.58,0.0000321,1.23E-04,ENSRNOG00000050403,AABR07004743.1,14267
13:95521213-95521824,1.68,0.0000201,7.660E-05,ENSRNOG00000004423,Zfp238,67844,,9:44859992-44860481,3.23,0.0000325,1.24E-04,ENSRNOG00000018830,Aff3,0
18:57066125-57066795,2.52,0.0000202,7.690E-05,ENSRNOG00000019403,Afap1l1,0,,5:125767708-125768250,4.24,0.0000327,1.24E-04,ENSRNOG00000022150,AABR07049524.1,94322
4:3629970-3630537,2.66,0.0000204,7.740E-05,ENSRNOG00000007131,Paxip1,329103,,12:49843964-49844367,2.82,0.0000328,1.25E-04,ENSRNOG00000048430,Myo18b,0
13:109041958-109042787,1.8,0.0000206,7.810E-05,ENSRNOG00000003407,Ptpn14,200448,,5:8621123-8621474,2.88,0.0000332,1.26E-04,ENSRNOG00000051477,AABR07046830.1,5646
5:62588036-62588559,2.36,0.0000216,8.160E-05,ENSRNOG00000008431,Gabbr2,0,,20:12865883-12866375,2.55,0.0000341,1.29E-04,ENSRNOG00000054549,Lss,0
5:136855588-136856010,2.59,0.0000219,8.280E-05,ENSRNOG00000019843,St3gal3,0,,12:5601665-5602019,2.68,0.0000346,1.30E-04,ENSRNOG00000000894,Fry,0
1:274133355-274133676,2.75,0.0000227,8.560E-05,ENSRNOG00000052176,AC115255.1,0,,14:38814856-38815364,1.84,0.000035,1.32E-04,ENSRNOG00000002327,Gabrb1,0
6:8124080-8124414,3.15,0.0000229,8.590E-05,ENSRNOG00000054592,AC111831.1,51172,,2:197334112-197334891,1.16,0.0000363,1.36E-04,ENSRNOG00000054851,5_8S_rRNA,124078
20:12757936-12758435,2.72,0.0000234,8.790E-05,ENSRNOG00000001254,Col6a2,14992,,6:60190235-60190540,2.45,0.0000369,1.38E-04,ENSRNOG00000051862,AABR07064011.2,2173
3:81885565-81885983,2.98,0.0000242,9.050E-05,ENSRNOG00000008674,Prdm11,0,,17:66219403-66219800,2.57,0.0000385,1.44E-04,ENSRNOG00000017593,Mtr,0
4:59358907-59359572,1.87,0.0000242,9.050E-05,ENSRNOG00000027055,LOC100365321,5827,,16:61740455-61740902,1.83,0.0000389,1.45E-04,ENSRNOG00000012329,Saraf,0
20:26115211-26115602,2.11,0.0000244,9.060E-05,ENSRNOG00000026466,Lrrtm3,0,,10:42746076-42746563,2.58,0.0000388,1.45E-04,ENSRNOG00000045816,Gria1,0
7:23634969-23635351,2.92,0.0000244,9.060E-05,ENSRNOG00000026866,Syn3,0,,7:31425974-31426550,2.09,0.0000396,1.47E-04,ENSRNOG00000024870,Anks1b,0
17:20187474-20187921,2.08,0.0000244,9.060E-05,ENSRNOG00000045918,Jarid2,0,,6:59930220-59930803,2.18,0.0000401,1.49E-04,ENSRNOG00000004282,Arl4a,17774
6:33676338-33676776,2.55,0.0000253,9.360E-05,ENSRNOG00000021403,Rhob,12351,,2:124545347-124546016,2.75,0.0000403,1.49E-04,ENSRNOG00000056100,SNORA17,46064
16:26710511-26710764,1.85,0.0000253,9.360E-05,ENSRNOG00000029441,Klhl2,28625,,8:48404277-48404618,2.87,0.0000409,1.51E-04,ENSRNOG00000006663,Usp2,1642
3:111694227-111694655,2.42,0.0000259,9.530E-05,ENSRNOG00000006378,Mga,4366,,4:30512816-30513210,2.29,0.000041,1.51E-04,ENSRNOG00000009197,Asb4,11488
10:41659612-41660084,1.39,0.0000262,9.640E-05,ENSRNOG00000038474,RGD1561017,113267,,8:129925998-129926346,1.71,0.000041,1.51E-04,ENSRNOG00000019271,Ulk4,6879
8:70485049-70485381,1.92,0.0000265,9.690E-05,ENSRNOG00000030232,Hacd3,0,,17:90476032-90476468,2.33,0.0000431,1.58E-04,ENSRNOG00000058094,Lyst,0
9:904239-904509,1.91,0.0000265,9.690E-05,ENSRNOG00000047886,AABR07066059.2,50002,,7:144146533-144147093,1.7,0.0000443,1.62E-04,ENSRNOG00000015269,Atf7,0
17:76892116-76892608,3.18,0.0000272,9.960E-05,ENSRNOG00000017882,Camk1d,0,,10:11115986-11116344,2.7,0.0000463,1.69E-04,ENSRNOG00000004146,Coro7,0
13:70445026-70445556,1.77,0.0000275,1.000E-04,ENSRNOG00000027697,Nmnat2,0,,16:4977929-4978469,2.44,0.0000463,1.69E-04,ENSRNOG00000031287,Cacna2d3,0
10:33048646-33049413,2.51,0.000028,1.020E-04,ENSRNOG00000054952,U1,75515,,14:107440002-107440447,3.34,0.0000464,1.69E-04,ENSRNOG00000033346,LOC100361636,44618
13:98661261-98661582,2.85,0.0000294,1.060E-04,ENSRNOG00000002969,Itpkb,0,,5:161806384-161806814,2.63,0.0000471,1.71E-04,ENSRNOG00000033522,Prdm2,0
19:830556-831023,2.65,0.0000292,1.060E-04,ENSRNOG00000010691,Cmtm3,0,,5:150233854-150234323,2.79,0.0000474,1.72E-04,ENSRNOG00000010531,Oprd1,53803
9:41076337-41076878,1.52,0.0000294,1.060E-04,ENSRNOG00000014001,Prss40,6409,,10:31039944-31040295,2.65,0.0000488,1.76E-04,ENSRNOG00000005450,Lsm11,0
3:124524862-124525310,3,0.0000291,1.060E-04,ENSRNOG00000021259,Prnp,0,,8:67683068-67683557,2.18,0.0000486,1.76E-04,ENSRNOG00000006723,Itga11,0
11:30857240-30857725,1.9,0.0000293,1.060E-04,ENSRNOG00000021555,Mis18a,22162,,14:105083965-105084416,2.52,0.0000499,1.80E-04,ENSRNOG00000056722,AABR07016578.2,0
5:158416011-158416382,2.78,0.0000301,1.080E-04,ENSRNOG00000018867,Klhdc7a,20375,,2:116945086-116945649,2.03,0.0000519,1.86E-04,ENSRNOG00000023908,Egfem1,24695
1:177148976-177149359,3.55,0.0000307,1.100E-04,ENSRNOG00000016244,Mical2,0,,7:131908844-131909242,2.69,0.000052,1.86E-04,ENSRNOG00000026128,Cpne8,110609
8:106021775-106022394,1.57,0.000031,1.110E-04,ENSRNOG00000013585,Nmnat3,294730,,8:105567364-105567759,1.43,0.0000528,1.89E-04,ENSRNOG00000037129,AABR07071223.1,40606
11:69480623-69481132,1.75,0.0000319,1.140E-04,ENSRNOG00000001706,Kalrn,3161,,4:46361102-46361417,1.93,0.0000554,1.98E-04,ENSRNOG00000053335,7SK,281226
5:121944326-121944739,2.09,0.0000319,1.140E-04,ENSRNOG00000005905,Pde4b,8238,,19:57393600-57394015,2.13,0.0000574,2.04E-04,ENSRNOG00000018836,RGD1559896,2591
3:18833934-18834273,2.43,0.0000331,1.180E-04,ENSRNOG00000047655,N/A,28217,,6:27802096-27802643,2.27,0.0000588,2.09E-04,ENSRNOG00000011394,Kif3c,0
16:61740455-61740902,1.98,0.0000349,1.240E-04,ENSRNOG00000012329,Saraf,0,,10:68902137-68902424,2.6,0.0000602,2.14E-04,ENSRNOG00000006625,Phb-ps1,23001
15:42862802-42863358,1.74,0.0000355,1.250E-04,ENSRNOG00000027839,Ptk2b,0,,4:58573054-58573439,1.71,0.0000606,2.15E-04,ENSRNOG00000054990,AABR07060133.1,87608
1:240104621-240105080,1.96,0.0000353,1.250E-04,ENSRNOG00000053293,SNORA17,164628,,4:84599203-84599670,1.51,0.000061,2.16E-04,ENSRNOG00000009571,Wipf3,0
9:118097891-118098525,2.11,0.0000353,1.250E-04,ENSRNOG00000054655,7SK,189766,,7:23634969-23635351,2.73,0.0000625,2.20E-04,ENSRNOG00000026866,Syn3,0
2:124545347-124546016,2.8,0.0000369,1.300E-04,ENSRNOG00000056100,SNORA17,46064,,12:28811014-28811724,1.04,0.0000652,2.29E-04,ENSRNOG00000024435,Wbscr17,0
3:91758677-91758989,2.8,0.0000371,1.300E-04,ENSRNOG00000058157,Ldlrad3,0,,3:5970588-5971115,1.74,0.0000658,2.31E-04,ENSRNOG00000007422,Vav2,0
10:8262679-8263501,3.15,0.0000381,1.340E-04,ENSRNOG00000002827,Rbfox1,49460,,10:86228862-86229710,2.52,0.0000658,2.31E-04,ENSRNOG00000028430,LOC257650,0
16:83931690-83932057,2.65,0.0000393,1.380E-04,ENSRNOG00000059439,AABR07026565.2,68994,,20:12757936-12758435,2.42,0.0000667,2.33E-04,ENSRNOG00000001254,Col6a2,14992
6:123025710-123026040,2.72,0.0000394,1.380E-04,ENSRNOG00000060278,Cpg1,8264,,8:106021775-106022394,1.52,0.0000669,2.33E-04,ENSRNOG00000013585,Nmnat3,294730
3:162579505-162579994,1.88,0.0000415,1.450E-04,ENSRNOG00000019154,Zmynd8,0,,15:18399323-18399696,2.03,0.0000671,2.33E-04,ENSRNOG00000033261,Fam107a,0
5:64806062-64806415,3.01,0.0000421,1.460E-04,ENSRNOG00000006807,Aldob,0,,17:74817826-74818317,2.35,0.0000667,2.33E-04,ENSRNOG00000055896,U6,16194
1:14981505-14982011,2.66,0.000042,1.460E-04,ENSRNOG00000053291,AABR07000493.1,30725,,6:31863069-31863561,2.51,0.0000677,2.35E-04,ENSRNOG00000052716,AABR07063507.1,443589
5:86920210-86920676,1.59,0.0000423,1.470E-04,ENSRNOG00000047928,AABR07048653.1,49825,,1:142140817-142141247,2.93,0.0000682,2.36E-04,ENSRNOG00000012236,Hddc3,2081
2:124117159-124117579,2.49,0.0000438,1.520E-04,ENSRNOG00000017392,Fgf2,0,,12:39545183-39545751,1.49,0.0000687,2.38E-04,ENSRNOG00000001285,Atp2a2,8152
8:111439112-111439440,2.84,0.000045,1.550E-04,ENSRNOG00000008593,Ryk,41246,,3:150239330-150239783,1.68,0.0000689,2.38E-04,ENSRNOG00000046585,AABR07054370.1,11926
14:7617534-7617987,2.18,0.0000451,1.550E-04,ENSRNOG00000060245,1700016H13Rik,0,,1:72462187-72462618,2.02,0.0000694,2.39E-04,ENSRNOG00000042414,Nat14,0
3:92483142-92483522,2.41,0.000046,1.580E-04,ENSRNOG00000005348,Pamr1,0,,6:8124080-8124414,2.88,0.0000702,2.41E-04,ENSRNOG00000054592,AC111831.1,51172
11:35167462-35167807,1.83,0.0000471,1.620E-04,ENSRNOG00000054899,7SK,9084,,7:50212287-50212937,2.25,0.000071,2.44E-04,ENSRNOG00000006426,Syt1,0
1:21224866-21225300,2.75,0.0000479,1.640E-04,ENSRNOG00000013202,Akap7,0,,7:132477065-132477853,1.64,0.0000716,2.45E-04,ENSRNOG00000015741,Slc2a13,0
13:87330372-87330954,1.83,0.0000478,1.640E-04,ENSRNOG00000059942,AABR07021714.1,2230,,1:220477570-220478093,1.38,0.0000729,2.49E-04,ENSRNOG00000020247,Cnih2,0
10:34304559-34304945,1.78,0.0000494,1.690E-04,ENSRNOG00000047402,Olr1383,3363,,9:86393557-86394043,2.74,0.0000733,2.49E-04,ENSRNOG00000053200,Dock10,0
16:71688908-71689318,2.75,0.0000499,1.700E-04,ENSRNOG00000016423,Tacc1,7783,,7:32012301-32012739,1.42,0.000073,2.49E-04,ENSRNOG00000061490,AABR07056605.1,0
7:32012301-32012739,1.53,0.0000501,1.700E-04,ENSRNOG00000061490,AABR07056605.1,0,,7:23550533-23550937,2.21,0.0000739,2.51E-04,ENSRNOG00000026866,Syn3,0
15:11491282-11491885,1.43,0.0000508,1.720E-04,ENSRNOG00000005883,Nek10,140874,,2:45716796-45717105,3.11,0.0000744,2.52E-04,ENSRNOG00000011105,Arl15,0
6:127562033-127562646,1.63,0.0000519,1.760E-04,ENSRNOG00000037762,Serpina1f,2165,,5:152041239-152041608,2.56,0.000076,2.57E-04,ENSRNOG00000056863,AABR07050116.1,29017
9:70182634-70182961,3,0.0000529,1.780E-04,ENSRNOG00000012424,Adam23,0,,15:3051478-3051838,2.52,0.0000763,2.58E-04,ENSRNOG00000012325,Adk,0
19:57393600-57394015,2.21,0.0000527,1.780E-04,ENSRNOG00000018836,RGD1559896,2591,,16:17833970-17834341,2.25,0.0000786,2.65E-04,ENSRNOG00000058160,AABR07024814.2,106896
1:222734173-222734507,2.84,0.0000533,1.790E-04,ENSRNOG00000021202,Rtn3,0,,6:51171877-51172286,2.2,0.0000802,2.70E-04,ENSRNOG00000056610,Cog5,0
10:102738443-102738971,2.74,0.0000542,1.820E-04,ENSRNOG00000053474,AC118434.1,7033,,10:33048646-33049413,2.29,0.0000811,2.73E-04,ENSRNOG00000054952,U1,75515
20:8096973-8097808,1.4,0.0000563,1.890E-04,ENSRNOG00000000508,Armc12,11827,,4:180799594-180800107,2.84,0.0000816,2.73E-04,ENSRNOG00000055289,AABR07062513.3,7932
4:64570479-64571021,1.41,0.0000565,1.890E-04,ENSRNOG00000026705,Dgki,0,,10:57367763-57368050,2.42,0.000084,2.81E-04,ENSRNOG00000031364,Kif1c,16411
2:12313925-12314231,2.9,0.0000568,1.900E-04,ENSRNOG00000049010,AABR07007399.1,1639,,18:55877713-55878064,2.8,0.0000855,2.86E-04,ENSRNOG00000019181,Synpo,0
17:75609243-75609563,2.67,0.0000577,1.920E-04,ENSRNOG00000023661,Celf2,0,,8:22059468-22060091,1.81,0.000088,2.93E-04,ENSRNOG00000020694,Icam5,2260
15:3051478-3051838,2.57,0.0000582,1.930E-04,ENSRNOG00000012325,Adk,0,,10:102738443-102738971,2.64,0.0000881,2.93E-04,ENSRNOG00000053474,AC118434.1,7033
2:3809286-3809677,2.38,0.0000582,1.930E-04,ENSRNOG00000013282,Mctp1,0,,15:11491282-11491885,1.36,0.0000885,2.94E-04,ENSRNOG00000005883,Nek10,140874
18:31547682-31548031,2.9,0.0000583,1.930E-04,ENSRNOG00000013562,Ndfip1,26790,,14:3607957-3608435,3.09,0.000089,2.95E-04,ENSRNOG00000002093,Tgfbr3,0
5:140616683-140617073,1.99,0.0000584,1.930E-04,ENSRNOG00000014008,Mfsd2a,25812,,17:76777269-76777781,1.81,0.00009,2.97E-04,ENSRNOG00000017882,Camk1d,0
20:9258953-9259565,1.74,0.0000592,1.960E-04,ENSRNOG00000000540,Btbd9,9134,,2:249033159-249033611,1.5,0.0000897,2.97E-04,ENSRNOG00000058016,AABR07013672.1,108519
8:51916764-51917183,2.66,0.0000593,1.960E-04,ENSRNOG00000050412,AABR07070098.1,128014,,5:121739858-121740278,1.8,0.0000946,3.11E-04,ENSRNOG00000005905,Pde4b,212699
5:154903446-154903871,1.56,0.00006,1.970E-04,ENSRNOG00000022402,Luzp1,0,,X:128829021-128829408,1.97,0.0000947,3.11E-04,ENSRNOG00000057469,AABR07041403.1,52958
12:24733067-24733655,4.34,0.0000606,1.990E-04,ENSRNOG00000018910,Abhd11,8071,,20:32199838-32200256,1.55,0.0000951,3.12E-04,ENSRNOG00000000395,LOC606294,0
1:198103954-198104369,2.36,0.0000607,1.990E-04,ENSRNOG00000019342,Sult1a1,0,,19:58803804-58804183,2.79,0.0000956,3.13E-04,ENSRNOG00000019937,Kcnk1,19631
1:265677071-265677876,2.13,0.0000609,1.990E-04,ENSRNOG00000025523,RGD1564887,0,,4:147150218-147150621,2.28,0.0000965,3.15E-04,ENSRNOG00000008157,Syn2,0
14:82263387-82263702,1.99,0.0000615,2.010E-04,ENSRNOG00000016427,Letm1,0,,8:67483499-67483877,2.39,0.0000962,3.15E-04,ENSRNOG00000015257,Coro2b,0
1:174058644-174058953,2.85,0.0000626,2.040E-04,ENSRNOG00000014373,Trim66,7958,,18:42626122-42626471,1.71,0.000098,3.19E-04,ENSRNOG00000055180,AABR07031989.1,548426
12:5968101-5968548,2.2,0.000063,2.050E-04,ENSRNOG00000050533,AABR07035175.1,25762,,1:265677071-265677876,2.07,0.0000987,3.21E-04,ENSRNOG00000025523,RGD1564887,0
20:19252493-19252972,2.97,0.0000671,2.180E-04,ENSRNOG00000055467,RNaseP_nuc,60779,,6:51036948-51037285,1.96,0.0000991,3.22E-04,ENSRNOG00000056610,Cog5,0
3:11974396-11974870,2.32,0.0000698,2.260E-04,ENSRNOG00000022312,Lrsam1,0,,3:79963401-79963766,2.17,0.0001,3.24E-04,ENSRNOG00000012568,Madd,0
1:45403625-45404368,1.44,0.0000724,2.340E-04,ENSRNOG00000054504,AABR07001452.1,4828,,1:222734173-222734507,2.7,0.0001,3.24E-04,ENSRNOG00000021202,Rtn3,0
3:122725879-122726279,2.61,0.0000736,2.380E-04,ENSRNOG00000007017,Tmc2,0,,18:31547682-31548031,2.72,0.000102,3.28E-04,ENSRNOG00000013562,Ndfip1,26790
7:24808130-24808553,2.37,0.0000743,2.400E-04,ENSRNOG00000007432,Polr3b,0,,5:167589391-167589781,2.62,0.000102,3.28E-04,ENSRNOG00000017940,Rere,0
20:28058109-28058475,3.34,0.0000749,2.410E-04,ENSRNOG00000000796,Ranbp2,0,,15:18702143-18702719,2.12,0.000103,3.30E-04,ENSRNOG00000008167,Abhd6,7011
12:39738251-39738669,2.7,0.0000748,2.410E-04,ENSRNOG00000021440,Pptc7,0,,5:86659759-86660146,1.67,0.000104,3.35E-04,ENSRNOG00000005932,Megf9,0
4:124941632-124941978,2.77,0.000075,2.410E-04,ENSRNOG00000023257,Adamts9,83383,,1:114282987-114283497,1.95,0.000105,3.35E-04,ENSRNOG00000011945,Cyfip1,0
2:249033159-249033611,1.43,0.0000764,2.450E-04,ENSRNOG00000058016,AABR07013672.1,108519,,11:37462833-37463342,2.71,0.000106,3.41E-04,ENSRNOG00000061472,AABR07033720.1,0
7:29157544-29158017,2.18,0.0000787,2.520E-04,ENSRNOG00000056493,Mybpc1,0,,8:100241218-100241644,1.98,0.00011,3.50E-04,ENSRNOG00000008363,AABR07071101.1,18405
X:10936633-10937035,1.93,0.0000806,2.570E-04,ENSRNOG00000003789,AABR07037054.1,3866,,2:21450718-21451058,2.11,0.00011,3.51E-04,ENSRNOG00000055450,Ckmt2,13526
10:5925039-5925566,1.72,0.0000809,2.570E-04,ENSRNOG00000033942,Grin2a,4732,,1:124650125-124650840,1.29,0.000111,3.54E-04,ENSRNOG00000015503,Otud7a,0
8:7604239-7604529,3.38,0.0000818,2.600E-04,ENSRNOG00000026821,Arhgap42,177629,,4:144770379-144770784,1.62,0.000112,3.55E-04,ENSRNOG00000006509,Srgap3,0
8:14523982-14524378,2.01,0.0000828,2.630E-04,ENSRNOG00000011585,Fat3,0,,12:47138576-47139142,2.03,0.000113,3.60E-04,ENSRNOG00000001199,Pop5,0
13:35554635-35554958,2.93,0.000083,2.630E-04,ENSRNOG00000047257,Tmem185b,6,,16:35647507-35648074,1.38,0.000114,3.62E-04,ENSRNOG00000038976,Galntl6,0
3:154598074-154598473,2.82,0.0000852,2.690E-04,ENSRNOG00000012956,Tgm2,0,,10:107316937-107317392,1.41,0.000116,3.65E-04,ENSRNOG00000028255,Usp36,0
2:227167371-227167750,2.5,0.0000855,2.700E-04,ENSRNOG00000014660,Usp53,6993,,8:36701849-36702296,1.73,0.000117,3.69E-04,ENSRNOG00000011789,Cdon,0
8:131643803-131644126,1.93,0.0000864,2.720E-04,ENSRNOG00000055245,AABR07071811.1,39898,,2:177970688-177971036,1.82,0.000121,3.81E-04,ENSRNOG00000021581,Rapgef2,0
12:36921423-36921953,2.64,0.000087,2.730E-04,ENSRNOG00000001004,Ncor2,0,,18:13951307-13951884,1.15,0.000122,3.82E-04,ENSRNOG00000014775,Nol4,0
